id,week_start,location_id,store_name,dm,revenue_band,hourly_goal,source,status
38,2026-03-26,112-0001,Stillwater (OK),Manny,35k-40k,588.0,initial-snapshot,locked
39,2026-03-26,112-0002,Muskogee (OK),Dottie,35k-40k,588.0,initial-snapshot,locked
40,2026-03-26,112-0003,Lawton (OK),Manny,<25k,422.0,initial-snapshot,locked
41,2026-03-26,112-0004,Ardmore (OK),Manny,<25k,422.0,initial-snapshot,locked
42,2026-03-26,112-0005,Durant (OK),Manny,<25k,422.0,initial-snapshot,locked
43,2026-03-26,112-0006,Wichita Falls (TX),Steve,30k-35k,504.0,initial-snapshot,locked
44,2026-03-26,112-0007,Gainesville (TX),Steve,<25k,422.0,initial-snapshot,locked
45,2026-03-26,112-0008,Lufkin (TX),Miriam,30k-35k,504.0,initial-snapshot,locked
46,2026-03-26,112-0009,Nacogdoches (TX),Miriam,25k-30k,420.0,initial-snapshot,locked
47,2026-03-26,112-0010,Little Elm (TX),Steve,<25k,422.0,initial-snapshot,locked
48,2026-03-26,112-0011,Princeton (TX),Miriam,<25k,422.0,initial-snapshot,locked
49,2026-03-26,112-0012,Amelia (OH),Renee,<25k,422.0,initial-snapshot,locked
50,2026-03-26,112-0013,Milford (OH),Renee,<25k,422.0,initial-snapshot,locked
51,2026-03-26,112-0014,Cincinnati - Winton Rd (OH),Renee,<25k,422.0,initial-snapshot,locked
52,2026-03-26,112-0015,Centerville (OH),Cody,45k-50k,849.0,initial-snapshot,locked
53,2026-03-26,112-0016,Cincinnati - Red Bank Rd (OH),Renee,<25k,422.0,initial-snapshot,locked
54,2026-03-26,112-0017,West Chester (OH),Cody,30k-35k,504.0,initial-snapshot,locked
55,2026-03-26,112-0018,Harrison (OH),Renee,30k-35k,504.0,initial-snapshot,locked
56,2026-03-26,112-0019,Streetsboro (OH),Alex,<25k,422.0,initial-snapshot,locked
57,2026-03-26,112-0020,Strongsville (OH),Alex,<25k,422.0,initial-snapshot,locked
58,2026-03-26,112-0021,Loveland (OH),Renee,30k-35k,504.0,initial-snapshot,locked
59,2026-03-26,112-0022,Avon (OH),Alex,<25k,422.0,initial-snapshot,locked
60,2026-03-26,112-0023,Lorain (OH),Alex,<25k,422.0,initial-snapshot,locked
61,2026-03-26,112-0024,Beavercreek (OH),Cody,25k-30k,420.0,initial-snapshot,locked
62,2026-03-26,112-0026,Fairfield (OH),Alex,<25k,422.0,initial-snapshot,locked
63,2026-03-26,112-0027,Florence (KY),Alex,<25k,422.0,initial-snapshot,locked
64,2026-03-26,112-0028,Englewood - S Main (OH),Cody,30k-35k,504.0,initial-snapshot,locked
65,2026-03-26,112-0029,Grove City (OH),Cody,<25k,422.0,initial-snapshot,locked
66,2026-03-26,112-0030,Hilliard (OH),Cody,<25k,422.0,initial-snapshot,locked
67,2026-03-26,112-0031,McAlester (OK),Dottie,<25k,422.0,initial-snapshot,locked
68,2026-03-26,112-0032,Plano (TX),Miriam,<25k,422.0,initial-snapshot,locked
69,2026-03-26,112-0033,Brownwood (TX),Steve,<25k,422.0,initial-snapshot,locked
70,2026-03-26,112-0034,Marshall (TX),Miriam,<25k,422.0,initial-snapshot,locked
71,2026-03-26,112-0035,Tulsa - 51st (OK),Dottie,NRO Seasoned,895.0,initial-snapshot,locked
72,2026-03-26,112-0036,Denton (TX),Steve,35k-40k,588.0,initial-snapshot,locked
73,2026-03-26,112-0037,McKinney - Hardin Blvd (TX),Miriam,35k-40k,588.0,initial-snapshot,locked
74,2026-03-26,112-0038,Ada (OK),Dottie,NRO,979.0,initial-snapshot,locked
275,2026-04-02,112-0001,Stillwater (OK),Manny,30k-35k,559.0,draft,draft
276,2026-04-02,112-0002,Muskogee (OK),Dottie,35k-40k,620.0,draft,draft
277,2026-04-02,112-0003,Lawton (OK),Manny,25k-30k,473.0,draft,draft
278,2026-04-02,112-0004,Ardmore (OK),Manny,30k-35k,559.0,draft,draft
279,2026-04-02,112-0005,Durant (OK),Manny,<25k,422.0,draft,draft
280,2026-04-02,112-0006,Wichita Falls (TX),Steve,30k-35k,559.0,draft,draft
281,2026-04-02,112-0007,Gainesville (TX),Steve,<25k,422.0,draft,draft
282,2026-04-02,112-0008,Lufkin (TX),Miriam,30k-35k,559.0,draft,draft
283,2026-04-02,112-0009,Nacogdoches (TX),Miriam,25k-30k,473.0,draft,draft
284,2026-04-02,112-0010,Little Elm (TX),Steve,<25k,422.0,draft,draft
285,2026-04-02,112-0011,Princeton (TX),Miriam,25k-30k,473.0,draft,draft
286,2026-04-02,112-0012,Amelia (OH),Renee,25k-30k,473.0,draft,draft
287,2026-04-02,112-0013,Milford (OH),Renee,25k-30k,473.0,draft,draft
288,2026-04-02,112-0014,Cincinnati - Winton Rd (OH),Renee,<25k,422.0,draft,draft
289,2026-04-02,112-0015,Centerville (OH),Cody,45k-50k,849.0,draft,draft
290,2026-04-02,112-0016,Cincinnati - Red Bank Rd (OH),Renee,<25k,422.0,draft,draft
291,2026-04-02,112-0017,West Chester (OH),Cody,30k-35k,559.0,draft,draft
292,2026-04-02,112-0018,Harrison (OH),Renee,30k-35k,559.0,draft,draft
293,2026-04-02,112-0019,Streetsboro (OH),Alex,<25k,422.0,draft,draft
294,2026-04-02,112-0020,Strongsville (OH),Alex,<25k,422.0,draft,draft
295,2026-04-02,112-0021,Loveland (OH),Renee,30k-35k,559.0,draft,draft
296,2026-04-02,112-0022,Avon (OH),Alex,<25k,422.0,draft,draft
297,2026-04-02,112-0023,Lorain (OH),Alex,<25k,422.0,draft,draft
298,2026-04-02,112-0024,Beavercreek (OH),Cody,30k-35k,559.0,draft,draft
299,2026-04-02,112-0026,Fairfield (OH),Alex,25k-30k,473.0,draft,draft
300,2026-04-02,112-0027,Florence (KY),Alex,25k-30k,473.0,draft,draft
301,2026-04-02,112-0028,Englewood - S Main (OH),Cody,30k-35k,559.0,draft,draft
302,2026-04-02,112-0029,Grove City (OH),Cody,25k-30k,473.0,draft,draft
303,2026-04-02,112-0030,Hilliard (OH),Cody,<25k,422.0,draft,draft
304,2026-04-02,112-0031,McAlester (OK),Dottie,25k-30k,473.0,draft,draft
305,2026-04-02,112-0032,Plano (TX),Miriam,25k-30k,473.0,draft,draft
115,2026-04-09,112-0001,Stillwater (OK),Manny,35k-40k,588.0,draft,draft
116,2026-04-09,112-0002,Muskogee (OK),Dottie,35k-40k,588.0,draft,draft
117,2026-04-09,112-0003,Lawton (OK),Manny,<25k,422.0,draft,draft
118,2026-04-09,112-0004,Ardmore (OK),Manny,<25k,422.0,draft,draft
119,2026-04-09,112-0005,Durant (OK),Manny,<25k,422.0,draft,draft
120,2026-04-09,112-0006,Wichita Falls (TX),Steve,30k-35k,504.0,draft,draft
121,2026-04-09,112-0007,Gainesville (TX),Steve,<25k,422.0,draft,draft
122,2026-04-09,112-0008,Lufkin (TX),Miriam,30k-35k,504.0,draft,draft
123,2026-04-09,112-0009,Nacogdoches (TX),Miriam,25k-30k,420.0,draft,draft
124,2026-04-09,112-0010,Little Elm (TX),Steve,<25k,422.0,draft,draft
125,2026-04-09,112-0011,Princeton (TX),Miriam,<25k,422.0,draft,draft
126,2026-04-09,112-0012,Amelia (OH),Renee,<25k,422.0,draft,draft
127,2026-04-09,112-0013,Milford (OH),Renee,<25k,422.0,draft,draft
128,2026-04-09,112-0014,Cincinnati - Winton Rd (OH),Renee,<25k,422.0,draft,draft
129,2026-04-09,112-0015,Centerville (OH),Cody,45k-50k,849.0,draft,draft
130,2026-04-09,112-0016,Cincinnati - Red Bank Rd (OH),Renee,<25k,422.0,draft,draft
131,2026-04-09,112-0017,West Chester (OH),Cody,30k-35k,504.0,draft,draft
132,2026-04-09,112-0018,Harrison (OH),Renee,30k-35k,504.0,draft,draft
133,2026-04-09,112-0019,Streetsboro (OH),Alex,<25k,422.0,draft,draft
134,2026-04-09,112-0020,Strongsville (OH),Alex,<25k,422.0,draft,draft
135,2026-04-09,112-0021,Loveland (OH),Renee,30k-35k,504.0,draft,draft
136,2026-04-09,112-0022,Avon (OH),Alex,<25k,422.0,draft,draft
137,2026-04-09,112-0023,Lorain (OH),Alex,<25k,422.0,draft,draft
138,2026-04-09,112-0024,Beavercreek (OH),Cody,25k-30k,420.0,draft,draft
139,2026-04-09,112-0026,Fairfield (OH),Alex,<25k,422.0,draft,draft
140,2026-04-09,112-0027,Florence (KY),Alex,<25k,422.0,draft,draft
141,2026-04-09,112-0028,Englewood - S Main (OH),Cody,30k-35k,504.0,draft,draft
142,2026-04-09,112-0029,Grove City (OH),Cody,<25k,422.0,draft,draft
143,2026-04-09,112-0030,Hilliard (OH),Cody,<25k,422.0,draft,draft
144,2026-04-09,112-0031,McAlester (OK),Dottie,<25k,422.0,draft,draft
145,2026-04-09,112-0032,Plano (TX),Miriam,<25k,422.0,draft,draft
146,2026-04-09,112-0033,Brownwood (TX),Steve,<25k,422.0,draft,draft
147,2026-04-09,112-0034,Marshall (TX),Miriam,<25k,422.0,draft,draft
148,2026-04-09,112-0035,Tulsa - 51st (OK),Dottie,NRO Seasoned,895.0,draft,draft
149,2026-04-09,112-0036,Denton (TX),Steve,35k-40k,588.0,draft,draft
150,2026-04-09,112-0037,McKinney - Hardin Blvd (TX),Miriam,35k-40k,588.0,draft,draft
