id,week_start,location_id,actual_hours,hourly_goal,variance,net_sales,labor_pct
266,2026-03-26,112-0019,439.68,422.0,17.68,15765.21,0.4122698016708944
267,2026-03-26,112-0020,383.78,422.0,-38.22,13401.15,0.43959063214724114
268,2026-03-26,112-0022,400.14,422.0,-21.86,14494.19,0.39453670746692293
269,2026-03-26,112-0023,407.8,422.0,-14.2,15267.21,0.394009776507954
270,2026-03-26,112-0026,471.79,422.0,49.79,26892.3,0.27505010727977897
271,2026-03-26,112-0027,479.4,422.0,57.4,27711.18,0.28066578182524166
272,2026-03-26,112-0015,589.14,849.0,-259.86,45992.46,0.19041664655467438
273,2026-03-26,112-0017,541.97,504.0,37.97,29842.04,0.29428014974847566
274,2026-03-26,112-0024,542.56,420.0,122.56,26847.37,0.2817300167576936
275,2026-03-26,112-0028,453.29,504.0,-50.71,28341.29,0.22910954300245331
276,2026-03-26,112-0029,496.77,422.0,74.77,26148.8,0.24609886495747413
277,2026-03-26,112-0030,399.92,422.0,-22.08,20985.2,0.2676405276099346
278,2026-03-26,112-0002,602.73,588.0,14.73,37332.36,0.22974572194203635
279,2026-03-26,112-0031,496.52,422.0,74.52,25776.54,0.26188231624570246
280,2026-03-26,112-0035,754.35,895.0,-140.65,38285.24,0.2931936694141136
281,2026-03-26,112-0038,947.18,979.0,-31.82,41500.54,0.30388978071128714
282,2026-03-26,112-0001,561.73,588.0,-26.27,33605.74,0.2382566192561152
283,2026-03-26,112-0003,493.96,422.0,71.96,24059.83,0.26613114057746873
284,2026-03-26,112-0004,476.47,422.0,54.47,26108.39,0.24200687978079077
285,2026-03-26,112-0005,417.65,422.0,-4.35,20935.47,0.2685490223052074
286,2026-03-26,112-0008,534.51,504.0,30.51,28775.78,0.2508661798220587
287,2026-03-26,112-0009,474.05,420.0,54.05,26595.24,0.22730533734608147
288,2026-03-26,112-0011,517.1,422.0,95.1,23676.44,0.29995683472684237
289,2026-03-26,112-0032,518.41,422.0,96.41,26421.87,0.2699543976259061
290,2026-03-26,112-0034,445.78,422.0,23.78,21469.01,0.2774953293142069
291,2026-03-26,112-0037,555.52,588.0,-32.48,24273.54,0.34071009008162795
292,2026-03-26,112-0012,396.07,422.0,-25.93,23674.58,0.2535588804532118
293,2026-03-26,112-0013,442.7,422.0,20.7,25607.69,0.256343699880778
294,2026-03-26,112-0014,379.84,422.0,-42.16,21522.21,0.261662254945008
295,2026-03-26,112-0016,462.23,422.0,40.23,23591.09,0.28260372878065404
296,2026-03-26,112-0018,504.99,504.0,0.99,33103.43,0.23072231487794467
297,2026-03-26,112-0021,432.66,504.0,-71.34,29301.34,0.23057102507939908
298,2026-03-26,112-0006,526.59,504.0,22.59,29905.56,0.25246141520172166
299,2026-03-26,112-0007,408.73,422.0,-13.27,18326.79,0.30287300722057703
300,2026-03-26,112-0010,487.58,422.0,65.58,22088.77,0.3015138461761338
301,2026-03-26,112-0033,418.1,422.0,-3.9,24968.34,0.22005427673605857
302,2026-03-26,112-0036,611.56,588.0,23.56,35252.26,0.23963314692448087
192,2026-03-19,112-0019,454.1,422.0,32.1,15673.35,0.42835386181001506
193,2026-03-19,112-0020,365.02,422.0,-56.98,14565.44,0.3853100215304172
194,2026-03-19,112-0022,475.1,422.0,53.1,12198.88,0.5689883005652979
195,2026-03-19,112-0023,421.71,422.0,-0.29,15821.25,0.3963884016749625
196,2026-03-19,112-0026,516.49,422.0,94.49,25731.12,0.30995541585442066
197,2026-03-19,112-0027,495.0,422.0,73.0,29570.21,0.27026930143546496
198,2026-03-19,112-0015,630.06,849.0,-218.94,45730.72,0.21008962902836428
199,2026-03-19,112-0017,537.55,559.0,-21.45,28955.24,0.2997536887969155
200,2026-03-19,112-0024,497.69,473.0,24.69,28582.18,0.24312911051571293
201,2026-03-19,112-0028,446.48,559.0,-112.52,31014.4,0.21072501805612875
202,2026-03-19,112-0029,531.74,422.0,109.74,26239.99,0.27343531762016676
203,2026-03-19,112-0030,364.23,422.0,-57.77,19563.91,0.2612345896091324
204,2026-03-19,112-0002,575.64,620.0,-44.36,36376.64,0.2284166432083887
205,2026-03-19,112-0031,497.17,422.0,75.17,26804.73,0.2520741675070034
206,2026-03-19,112-0035,846.07,895.0,-48.93,42539.51,0.29494862540729777
