id,location_id,store_name,period_start,period_end,guests_per_negative,loaded_at
2,112-0001,Stillwater (OK),2022-12-29,2023-01-25,1648.83,2026-04-03T19:22:18.585506+00:00
3,112-0001,Stillwater (OK),2023-01-26,2023-02-22,5804.0,2026-04-03T19:22:18.585506+00:00
4,112-0001,Stillwater (OK),2023-02-23,2023-03-22,2292.0,2026-04-03T19:22:18.585506+00:00
5,112-0001,Stillwater (OK),2023-03-23,2023-04-19,4076.0,2026-04-03T19:22:18.585506+00:00
6,112-0001,Stillwater (OK),2023-04-20,2023-05-17,6482.0,2026-04-03T19:22:18.585506+00:00
7,112-0001,Stillwater (OK),2023-05-18,2023-06-14,5627.5,2026-04-03T19:22:18.585506+00:00
8,112-0001,Stillwater (OK),2023-06-15,2023-07-12,9419.0,2026-04-03T19:22:18.585506+00:00
9,112-0001,Stillwater (OK),2023-07-13,2023-08-09,3160.33,2026-04-03T19:22:18.585506+00:00
10,112-0001,Stillwater (OK),2023-08-10,2023-09-06,3068.0,2026-04-03T19:22:18.585506+00:00
11,112-0001,Stillwater (OK),2023-09-07,2023-10-04,3007.75,2026-04-03T19:22:18.585506+00:00
12,112-0001,Stillwater (OK),2023-10-05,2023-11-01,4125.0,2026-04-03T19:22:18.585506+00:00
13,112-0001,Stillwater (OK),2023-11-02,2023-11-29,3632.67,2026-04-03T19:22:18.585506+00:00
14,112-0001,Stillwater (OK),2023-11-30,2023-12-27,1919.6,2026-04-03T19:22:18.585506+00:00
15,112-0001,Stillwater (OK),2023-12-28,2024-01-24,4130.5,2026-04-03T19:22:18.585506+00:00
16,112-0001,Stillwater (OK),2024-01-25,2024-02-21,5736.0,2026-04-03T19:22:18.585506+00:00
17,112-0001,Stillwater (OK),2024-02-22,2024-03-20,5553.0,2026-04-03T19:22:18.585506+00:00
18,112-0001,Stillwater (OK),2024-03-21,2024-04-17,4094.67,2026-04-03T19:22:18.585506+00:00
19,112-0001,Stillwater (OK),2024-04-18,2024-05-15,6510.0,2026-04-03T19:22:18.585506+00:00
20,112-0001,Stillwater (OK),2024-05-16,2024-06-12,9834.0,2026-04-03T19:22:18.585506+00:00
21,112-0001,Stillwater (OK),2024-06-13,2024-07-10,9402.0,2026-04-03T19:22:18.585506+00:00
22,112-0001,Stillwater (OK),2024-07-11,2024-08-07,5221.0,2026-04-03T19:22:18.585506+00:00
23,112-0001,Stillwater (OK),2024-08-08,2024-09-04,4136.67,2026-04-03T19:22:18.585506+00:00
24,112-0001,Stillwater (OK),2024-09-05,2024-10-02,4173.67,2026-04-03T19:22:18.585506+00:00
25,112-0001,Stillwater (OK),2024-10-03,2024-10-30,5860.5,2026-04-03T19:22:18.585506+00:00
26,112-0001,Stillwater (OK),2024-10-31,2024-11-27,11692.0,2026-04-03T19:22:18.585506+00:00
27,112-0001,Stillwater (OK),2024-11-28,2024-12-25,1812.8,2026-04-03T19:22:18.585506+00:00
28,112-0001,Stillwater (OK),2024-12-26,2025-01-22,8479.0,2026-04-03T19:22:18.585506+00:00
29,112-0001,Stillwater (OK),2025-01-23,2025-02-19,3353.0,2026-04-03T19:22:18.585506+00:00
30,112-0001,Stillwater (OK),2025-02-20,2025-03-19,1891.67,2026-04-03T19:22:18.585506+00:00
31,112-0001,Stillwater (OK),2025-03-20,2025-04-16,3796.0,2026-04-03T19:22:18.585506+00:00
32,112-0001,Stillwater (OK),2025-04-17,2025-05-14,11767.0,2026-04-03T19:22:18.585506+00:00
33,112-0001,Stillwater (OK),2025-05-15,2025-06-11,2967.67,2026-04-03T19:22:18.585506+00:00
34,112-0001,Stillwater (OK),2025-06-12,2025-07-09,3964.0,2026-04-03T19:22:18.585506+00:00
35,112-0001,Stillwater (OK),2025-07-10,2025-08-06,2917.67,2026-04-03T19:22:18.585506+00:00
36,112-0001,Stillwater (OK),2025-08-07,2025-09-03,2771.25,2026-04-03T19:22:18.585506+00:00
37,112-0001,Stillwater (OK),2025-09-04,2025-10-01,1637.29,2026-04-03T19:22:18.585506+00:00
38,112-0001,Stillwater (OK),2025-10-02,2025-10-29,1886.5,2026-04-03T19:22:18.585506+00:00
39,112-0001,Stillwater (OK),2025-10-30,2025-11-26,1573.71,2026-04-03T19:22:18.585506+00:00
40,112-0001,Stillwater (OK),2025-11-27,2025-12-31,1725.17,2026-04-03T19:22:18.585506+00:00
41,112-0001,Stillwater (OK),2026-01-01,2026-01-28,9474.0,2026-04-03T19:22:18.585506+00:00
42,112-0001,Stillwater (OK),2026-01-29,2026-02-25,2897.5,2026-04-03T19:22:18.585506+00:00
43,112-0001,Stillwater (OK),2026-02-26,2026-03-25,1388.75,2026-04-03T19:22:18.585506+00:00
44,112-0001,Stillwater (OK),2026-03-26,2026-04-22,1725.5,2026-04-03T19:22:18.585506+00:00
45,112-0002,Muskogee (OK),2022-12-29,2023-01-25,12348.0,2026-04-03T19:22:18.585506+00:00
46,112-0002,Muskogee (OK),2023-01-26,2023-02-22,5997.0,2026-04-03T19:22:18.585506+00:00
47,112-0002,Muskogee (OK),2023-02-23,2023-03-22,14037.0,2026-04-03T19:22:18.585506+00:00
48,112-0002,Muskogee (OK),2023-03-23,2023-04-19,12600.0,2026-04-03T19:22:18.585506+00:00
49,112-0002,Muskogee (OK),2023-04-20,2023-05-17,6526.0,2026-04-03T19:22:18.585506+00:00
50,112-0002,Muskogee (OK),2023-05-18,2023-06-14,3319.0,2026-04-03T19:22:18.585506+00:00
