id,location_id,store_name,sale_date,good_shift,loaded_at
2,112-0001,Stillwater (OK),2023-01-01,0.5,2026-04-03T19:17:14.09042+00:00
3,112-0001,Stillwater (OK),2023-01-02,0.0,2026-04-03T19:17:14.09042+00:00
4,112-0001,Stillwater (OK),2023-01-03,0.5,2026-04-03T19:17:14.09042+00:00
5,112-0001,Stillwater (OK),2023-01-04,1.0,2026-04-03T19:17:14.09042+00:00
6,112-0001,Stillwater (OK),2023-01-05,0.5,2026-04-03T19:17:14.09042+00:00
7,112-0001,Stillwater (OK),2023-01-06,0.5,2026-04-03T19:17:14.09042+00:00
8,112-0001,Stillwater (OK),2023-01-07,0.5,2026-04-03T19:17:14.09042+00:00
9,112-0001,Stillwater (OK),2023-01-08,0.5,2026-04-03T19:17:14.09042+00:00
10,112-0001,Stillwater (OK),2023-01-09,0.5,2026-04-03T19:17:14.09042+00:00
11,112-0001,Stillwater (OK),2023-01-10,0.5,2026-04-03T19:17:14.09042+00:00
12,112-0001,Stillwater (OK),2023-01-11,0.5,2026-04-03T19:17:14.09042+00:00
13,112-0001,Stillwater (OK),2023-01-12,0.0,2026-04-03T19:17:14.09042+00:00
14,112-0001,Stillwater (OK),2023-01-13,1.0,2026-04-03T19:17:14.09042+00:00
15,112-0001,Stillwater (OK),2023-01-14,0.5,2026-04-03T19:17:14.09042+00:00
16,112-0001,Stillwater (OK),2023-01-15,0.5,2026-04-03T19:17:14.09042+00:00
17,112-0001,Stillwater (OK),2023-01-16,0.5,2026-04-03T19:17:14.09042+00:00
18,112-0001,Stillwater (OK),2023-01-17,0.0,2026-04-03T19:17:14.09042+00:00
19,112-0001,Stillwater (OK),2023-01-18,0.0,2026-04-03T19:17:14.09042+00:00
20,112-0001,Stillwater (OK),2023-01-19,0.5,2026-04-03T19:17:14.09042+00:00
21,112-0001,Stillwater (OK),2023-01-20,0.5,2026-04-03T19:17:14.09042+00:00
22,112-0001,Stillwater (OK),2023-01-21,0.5,2026-04-03T19:17:14.09042+00:00
23,112-0001,Stillwater (OK),2023-01-22,0.5,2026-04-03T19:17:14.09042+00:00
24,112-0001,Stillwater (OK),2023-01-23,1.0,2026-04-03T19:17:14.09042+00:00
25,112-0001,Stillwater (OK),2023-01-24,0.5,2026-04-03T19:17:14.09042+00:00
26,112-0001,Stillwater (OK),2023-01-25,0.5,2026-04-03T19:17:14.09042+00:00
27,112-0001,Stillwater (OK),2023-01-26,0.5,2026-04-03T19:17:14.09042+00:00
28,112-0001,Stillwater (OK),2023-01-27,1.0,2026-04-03T19:17:14.09042+00:00
29,112-0001,Stillwater (OK),2023-01-28,0.0,2026-04-03T19:17:14.09042+00:00
30,112-0001,Stillwater (OK),2023-01-29,0.5,2026-04-03T19:17:14.09042+00:00
31,112-0001,Stillwater (OK),2023-01-30,0.0,2026-04-03T19:17:14.09042+00:00
32,112-0001,Stillwater (OK),2023-01-31,0.5,2026-04-03T19:17:14.09042+00:00
33,112-0001,Stillwater (OK),2023-02-01,1.0,2026-04-03T19:17:14.09042+00:00
34,112-0001,Stillwater (OK),2023-02-02,1.0,2026-04-03T19:17:14.09042+00:00
35,112-0001,Stillwater (OK),2023-02-03,0.0,2026-04-03T19:17:14.09042+00:00
36,112-0001,Stillwater (OK),2023-02-04,0.5,2026-04-03T19:17:14.09042+00:00
37,112-0001,Stillwater (OK),2023-02-05,0.0,2026-04-03T19:17:14.09042+00:00
38,112-0001,Stillwater (OK),2023-02-06,0.0,2026-04-03T19:17:14.09042+00:00
39,112-0001,Stillwater (OK),2023-02-07,0.0,2026-04-03T19:17:14.09042+00:00
40,112-0001,Stillwater (OK),2023-02-08,0.0,2026-04-03T19:17:14.09042+00:00
41,112-0001,Stillwater (OK),2023-02-09,0.5,2026-04-03T19:17:14.09042+00:00
42,112-0001,Stillwater (OK),2023-02-10,0.0,2026-04-03T19:17:14.09042+00:00
43,112-0001,Stillwater (OK),2023-02-11,0.5,2026-04-03T19:17:14.09042+00:00
44,112-0001,Stillwater (OK),2023-02-12,0.0,2026-04-03T19:17:14.09042+00:00
45,112-0001,Stillwater (OK),2023-02-13,0.5,2026-04-03T19:17:14.09042+00:00
46,112-0001,Stillwater (OK),2023-02-14,0.5,2026-04-03T19:17:14.09042+00:00
47,112-0001,Stillwater (OK),2023-02-15,0.0,2026-04-03T19:17:14.09042+00:00
48,112-0001,Stillwater (OK),2023-02-16,0.0,2026-04-03T19:17:14.09042+00:00
49,112-0001,Stillwater (OK),2023-02-17,0.5,2026-04-03T19:17:14.09042+00:00
50,112-0001,Stillwater (OK),2023-02-18,0.5,2026-04-03T19:17:14.09042+00:00
51,112-0001,Stillwater (OK),2023-02-19,0.5,2026-04-03T19:17:14.09042+00:00
52,112-0001,Stillwater (OK),2023-02-20,0.0,2026-04-03T19:17:14.09042+00:00
53,112-0001,Stillwater (OK),2023-02-21,0.0,2026-04-03T19:17:14.09042+00:00
54,112-0001,Stillwater (OK),2023-02-22,0.0,2026-04-03T19:17:14.09042+00:00
55,112-0001,Stillwater (OK),2023-02-23,0.0,2026-04-03T19:17:14.09042+00:00
56,112-0001,Stillwater (OK),2023-02-24,0.5,2026-04-03T19:17:14.09042+00:00
57,112-0001,Stillwater (OK),2023-02-25,0.0,2026-04-03T19:17:14.09042+00:00
58,112-0001,Stillwater (OK),2023-02-26,0.0,2026-04-03T19:17:14.09042+00:00
59,112-0001,Stillwater (OK),2023-02-27,1.0,2026-04-03T19:17:14.09042+00:00
60,112-0001,Stillwater (OK),2023-02-28,0.0,2026-04-03T19:17:14.09042+00:00
61,112-0001,Stillwater (OK),2023-03-01,0.0,2026-04-03T19:17:14.09042+00:00
